task_id,task_name,task_description,lifecycle_phase,lifecycle_level,lifecycle_moment,stage,step,requiredness,condition,ui_type, note_type_keys, catalogue_key, generator_key
electricity_001,General information,Enter building type; installation energized; distributor; meter; years; diagnostic scope; standard; and documents from client,offsite-pre,report,before_arriving,1.A,report.pre-visit,always,,form,,,
electricity_002,Cutoff and main breaker (AGCP),Complete B1 checklist: presence; location; total cutoff; switch type; manual control; multipolar; height; access; panel access; not under water or cooktop (B1.3 a–j) with Oui; Non; NV; Sans Objet,onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_003,RCD and differential protection,Complete B2 checklist: RCD presence; sensitivity ≤30 mA; test button (B2.3.1 a; B11 a; B2.3.1 i) with Oui; Non; NV; Sans Objet,onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_004,Overcurrent protection,Complete B4 checklist: protection at origin; phase cutoff; fuse or breaker type; conductor grouping; rating vs section; overheating (B4.3 a1; h; etc.) with Oui; Non; NV; Sans Objet,onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_005,Grounding (earth),Complete B3 checklist: earth electrode; resistance value in Ohm; ground conductor; LEP; outlets grounded; elevator grounding with Oui; Non; NV; Sans Objet,onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_006,Dwelling and special locations,Complete B5–B10: bathroom bonding (B5); bathroom zone (B6); enclosure and insulation (B7); obsolete equipment (B8); common area feed (B9); pool and fountain (B10) with Oui; Non; NV; Sans Objet,onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_007,Uncovered installations (E1),E1: select uncovered type; validate; list; and building parts checkboxes (e.g. grounding in common areas; parts in common areas),onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_008,Unverifiable points (E2),Enter unverifiable points under Constatations Diverses E2 sub-tab,onsite,report,on_overview,2.G,report.overview,optional,,form,,,
electricity_009,Comments,Enter comments under Constatations Diverses Commentaires sub-tab,onsite,report,on_completion,2.L,report.on-completion,optional,,form,,,
electricity_010,Parts powered from common areas (E3),Enter parts powered from common areas under Constatations Diverses E3 sub-tab,onsite,report,on_overview,2.G,report.overview,always,,form,,,
electricity_011,Report summary,View and confirm final overview and conclusions on Résumé tab,onsite,report,on_completion,2.L,report.on-completion,always,,form,,,
