variable_key,label_en,label_fr,description,task_key,variable_kind,value_source_type,level_registered_at,level_belongs_to,required_default,required_if,enum_ref,catalogue_ref,generator_ref," note_type_ref",required_in_pdf
picture,Picture,Photo,Photo of the inspected element,termite_001,string,user_input,room,room,optional,,,,,termite_inspected_element,False
observation_text,Observation,Observation,Text description of the observation,termite_001,string,user_input,room,room,false,,,,,termite_inspected_element,False
location,Location,,Location of the inspected object,termite_002,string,user_input,room,room,false,,,,,,False
object_type,Object type,,Type of object (furniture; woodwork; etc.),termite_002,enum_multiple,user_input,room,room,false,,termite_inspection_object,,termite_inspection_object,,False
material_details,Material details,,Material and surface details,termite_002,enum_multiple,user_input,room,room,false,,termite_object_detail,,termite_inspection_object,,False
object_part,Object part,,Part of the object (framework; rafter; etc.),termite_002,enum_multiple,user_input,room,room,false,,termite_object_part,,termite_inspection_object,,False
description,Description,,Text description of the inspection object,termite_002,string,user_input,room,room,false,,,,,,False
termite_investigation_means,Investigation means,Moyens d'investigation,Investigation tools and probes used during inspection,termite_002,enum_multiple,user_input,room,room,false,,termite_inspection_probe,,,,True
termite_presence_indicators,Termite Presence indicators,,Indicators of termite presence,termite_003,enum_multiple,user_input,room,room,false,,termite_presence_indicators,,termite_standardized_inspection,,False
termite_infestation_degree,Termite Infestation degree,,Degree of infestation,termite_003,enum_multiple,user_input,room,room,false,,termite_infestation_degree,,termite_standardized_inspection,,False
termite_species_result,Termite species result,,Species or confusion result from wood clue logic: wood_exit_hole_type branch first; wood_frass_type discriminator second; wood_essence_cat resolves resinous vs broadleaf patterns,termite_003,enum_multiple,user_input,room,room,false,,termite_species_result,,termite_standardized_inspection,,False
fungi_presence_indicators,Fungi presence indicators,,Indicators of fungi presence from normalized inspection,termite_003,enum_multiple,user_input,room,room,false,,fungi_presence_indicators,,termite_standardized_inspection,,False
fungi_infestation_degree,Fungi infestation degree,,Degree of fungi infestation from normalized inspection,termite_003,enum_multiple,user_input,room,room,false,,fungi_infestation_degree,,termite_standardized_inspection,,False
fungi_species_result,Fungi species result,,Fungi result list including lignivore and rot categories,termite_003,enum_multiple,user_input,room,room,false,,fungi_species_result,,termite_standardized_inspection,,False
parasite_presence_indicators,Parasite presence indicators,,Indicators of wood parasite presence from normalized inspection,termite_003,enum_multiple,user_input,room,room,false,,parasite_presence_indicators,,termite_standardized_inspection,,False
parasite_infestation_degree,Parasite infestation degree,,Degree of parasite infestation from normalized inspection,termite_003,enum_multiple,user_input,room,room,false,,parasite_infestation_degree,,termite_standardized_inspection,,False
parasite_species_result,Parasite species result,,Parasite result list including fresh wood and nidifying insect groups,termite_003,enum_multiple,user_input,room,room,false,,parasite_species_result,,termite_standardized_inspection,,False
summary_status_termites,Summary Status Termites,Statut Termites,Summary status for termites infestation,termite_004,string,computed,room,room,false,,,,,,False
summary_status_parasites,Summary Status Parasites,Statut Parasites,Summary status for parasites infestation,termite_004,string,computed,room,room,false,,,,,,False
summary_status_fungi,Summary Status Fungi,Statut Champ.,Summary status for fungi infestation,termite_004,string,computed,room,room,false,,,,,,False
termite_detection_duration,Termite Detection Duration,Durée de repérage termites,Duration of termite detection in minutes or hours,termite_006,date,user_input,report,report,true,,,,,,False
company_stamp,Company Stamp,Cachet de l'entreprise,Company stamp image or document reference for PDF,termite_006,string,user_input,report,report,false,,,,,,True
visit_performed_on,Visit performed on,Visite effectuée le,Date of visit as shown on report when it differs from Admin inspection_date,termite_006,string,user_input,report,report,false,visit_performed_on != inspection_date,,,,,True
various_observations,Various Observations,Constatations diverses,Various observations and miscellaneous findings,termite_007,string,user_input,report,report,false,,,,,,False
termite_municipal_declaration_notice,Termite municipal declaration notice,Nota déclaration mairie,Optional text block for mandatory municipal declaration of infestation (L.133-4; R.133-3 CCH),termite_007,string,user_input,report,report,false,,,,,,True
comments_deviation_from_norm,Comments Deviation from Norm,Commentaires (Ecart par rapport à la norme),Comments regarding deviations from the norm,termite_008,string,user_input,report,report,false,,,,,,False
non_examined_works_and_justification,Non-examined works and justification,Ouvrages non examinés et justification,Works and parts not examined with justification text,termite_008,string,user_input,report,report,false,,,,,,True
prior_treatments_presence,Prior Treatments Presence,Présence de traitements antérieurs contre les termites,Presence of prior treatments against termites,termite_009,boolean,user_input,report,report,false,,,,,,False
termites_in_building_presence,Termites in Building Presence,Présence de termites dans le bâtiment,Presence of termites in the building,termite_009,boolean,user_input,report,report,false,,,,,,False
technical_notice_provision,Technical Notice Provision,Fourniture de la notice technique relatif à l'article R 131-3 du CCH,Provision of the technical notice relating to article R 131-3 of the CCH if date of building permit application or commencement of works is after 01/11/2006,termite_009,boolean,user_input,report,report,false,,,,,,False
information_from_client,Information from Client,Informations collectées auprès du donneur d'ordre,Information collected from the client or ordering party,termite_009,string,user_input,report,report,false,,,,,,False
official_comments_arrete_status,Official Comments Arrêté Status,Statut Commentaires Arrêtés,Status of official comments regarding decrees (subject to order; not subject to order; verification needed),termite_010,enum_single,user_input,report,report,false,,termite_arrete_status,,,,False
official_comments_arrete_text,Official Comments Arrêté Text,Commentaires Arrêtés,Official comments regarding decrees and zoning,termite_010,string,user_input,report,report,false,,,,,,False
parasite_conclusion_manual_override,Parasite Conclusion Manual Override,Fixer la conclusion manuellement,Option to manually fix the conclusion for parasites,termite_011,boolean,user_input,report,report,false,,,,,,False
parasite_specific_conclusion,Parasite Specific Conclusion,Conclusion spécifique pour les Parasitaires,Specific conclusion selected from termite species result after wood clue logic: first wood_exit_hole_type; then wood_frass_type; then wood_essence_cat as tie-breaker,termite_011,enum_single,user_input,report,report,false,,termite_species_result,,,,False
parasite_conclusion_text,Parasite Conclusion Text,Conclusion texte,Detailed text for parasite conclusion,termite_011,string,user_input,report,report,false,,,,,,False
documents_from_client,Documents from Client,Documents remis par le donneur d'ordre,Documents submitted by the client or ordering party,termite_012,string,user_input,report,report,false,,,,,,False
