task_id,task_name,task_description,lifecycle_phase,lifecycle_level,lifecycle_moment,stage,step,requiredness,condition,ui_type,note_type_keys,catalogue_key,generator_key
admin_001,Case Selection,Create or select a case and select report types to produce,offsite-pre,case,before_arriving,1.A,case.selection,always,,form,,,
admin_002,Property Address,Enter the property address and location identifiers,offsite-pre,case,before_arriving,1.A,case.selection,always,,form,,,
admin_003,Property Reference Numbers,Enter property reference numbers and external identifiers (BBR cadastral references),offsite-pre,case,before_arriving,1.A,case.selection,optional,,form,,,
admin_004,Owner Registration,Register owner name and contact information,offsite-pre,case,before_arriving,1.A,case.selection,always,,form,,,
admin_005,Owner Signature,Capture owner signature (PDF document),offsite-pre,case,before_arriving,1.A,case.selection,always,,form,,,
admin_006,Client Information,Enter client information and reference numbers,offsite-pre,case,before_arriving,1.A,case.selection,optional,,form,,,
admin_007,Surveyor Information,Enter surveyor name license number and contact information,offsite-pre,case,before_arriving,1.A,case.selection,always,,form,,,
admin_008,Inspection Metadata,Enter inspection date time and reference numbers,offsite-pre,report,before_arriving,1.A,report.pre-visit,always,,form,,,
admin_009,Report Type Selection,Select which report types to produce for this inspection,offsite-pre,case,before_arriving,1.A,case.selection,always,,form,,,
admin_010,External Data Prefill,Review and confirm external data prefill (BBR lookup prior inspection data),offsite-pre,report,before_arriving,1.A,report.pre-visit,optional,,form,,,
admin_011,Building Plan Image,Add building or storey plan as an image file,onsite,building,on_creation,2.B,building.setup,optional,,form,,,
admin_013,Add Room,Add a new room with building/level designation and room designation,onsite,storey,on_overview,2.C,storey.overview,always,,form,,,
admin_014,Room Designation,Set room designation (name) and building/level designation,onsite,room,on_creation,2.F,room.setup,always,,form,,,
admin_015,Room Non-Visit Justification,Provide justification if room is not visited,onsite,room,on_creation,2.F,room.setup,always_if,room_not_visited,form,,,
admin_016,Room Floor Material Description,Select floor materials using multiple description methods,onsite,room,on_overview,2.G,room.overview,always,,form,,,
admin_017,Room Wall Material Description,Select wall materials using multiple description methods,onsite,room,on_overview,2.G,room.overview,always,,form,,,
admin_018,Room Ceiling Material Description,Select ceiling materials using multiple description methods,onsite,room,on_overview,2.G,room.overview,always,,form,,,
admin_019,Room Window Type Selection,Select window type from available options,onsite,room,on_overview,2.G,room.overview,optional,,form,,,
admin_020,Room Door Type Selection,Select door type from available options,onsite,room,on_overview,2.G,room.overview,optional,,form,,,
admin_021,Room Skirting Board Selection,Select skirting board type from available options,onsite,room,on_overview,2.G,room.overview,optional,,form,,,
admin_022,Room Other Information,Enter additional room information and notes,onsite,room,on_overview,2.G,room.overview,optional,,form,,,
admin_023,Lead Report Mission Configuration,Configure mission type analysis scope property purpose and occupant information for lead report,offsite-pre,case,before_arriving,1.A,case.selection,always_if,report_type_selection includes french_lead,form,,,
