variable_key,label_en,label_fr,description,task_key,variable_kind,value_source_type,level_registered_at,level_belongs_to,required_default,required_if,enum_ref,catalogue_ref,generator_ref," note_type_ref",required_in_pdf
building_type,Building Type,Type de bâtiment,Type of building (e.g. single house; apartment),gaz_001,enum_single,user_input,report,report,true,,building_type,,,,True
gas_supplied,Gas Supplied,Installation alimentée en gaz,Whether the installation is supplied with gas,gaz_001,enum_single,user_input,report,report,true,,gas_supplied,,,,True
gas_nature,Gas Nature,Nature du gaz,Type of gas (natural gas or GPL),gaz_001,enum_single,user_input,report,report,true,,gas_nature,,,,True
gas_label,Gas Label,Libellé nature du gaz,Label relating to the nature of the gas,gaz_001,enum_single,user_input,report,report,true,,gas_label,,,,True
gas_container,Gas Container,Récipient contenant le gaz,Container containing the gas (e.g. no container; propane tank),gaz_001,enum_single,user_input,report,report,true,,gas_container,,,,False
distributor,Distributor,Distributeur,Gas distributor (from catalogue),gaz_001,enum_single,user_input,report,report,false,,,gas_distributor,,,True
identification_type,Identification Type,Type de repérage,Type of identification used for this control (device by device or standard grid),gaz_001,enum_single,user_input,report,report,true,,identification_type,,,,False
standard_version,Standard Version,Normes,Standard to use (2013 or 2022),gaz_001,enum_single,user_input,report,report,true,,standard_version,,,,True
gas_delivery_point_number,Gas Delivery Point Number,Numéro de point de livraison gaz,Gas delivery point number,gaz_001,string,user_input,report,report,false,,,,,,True
pce_number,metering point estimation number (PCE) Number,Numéro PCE à 14 chiffres,14-digit metering point estimation number (PCE),gaz_001,string,user_input,report,report,false,,,,,,True
meter_number,Meter Number,Numéro de compteur,Meter number,gaz_001,string,user_input,report,report,false,,,,,,True
owner_name,Owner Name,Titulaire,Name of owner or holder,gaz_002,string,user_input,report,report,false,,,,,,True
owner_first_name,Owner First Name,Prénom du propriétaire,First name of the installation owner,gaz_002,string,user_input,report,report,false,,,,,,True
contract_holder_name,Contract Holder Name,Nom du titulaire,Last name of the gas supply contract holder,gaz_002,string,user_input,report,report,false,,,,,,True
contract_holder_first_name,Contract Holder First Name,Prénom du titulaire,First name of the gas supply contract holder,gaz_002,string,user_input,report,report,false,,,,,,True
owner_contact,Owner Contact,Contact titulaire,Contact details of owner or holder,gaz_002,string,user_input,report,report,false,,,,,,False
owner_address,Owner Address,Adresse titulaire,Address of owner or holder,gaz_002,string,user_input,report,report,false,,,,,,True
owner_phone_number,Owner Phone Number,Numéro de téléphone titulaire,Phone number of owner or holder,gaz_002,string,user_input,report,report,false,,,,,,True
documents_from_client,Documents from Client,Documents remis par le donneur d'ordre,Documents provided by the client or orderer,gaz_003,string,user_input,report,report,false,,,,,,False
missing_flue_vacuity_cert,Missing Flue Vacuity Cert,Attestation conduits fumées non présentée,Flue vacuity certificate less than one year old not presented,gaz_003,boolean,user_input,report,report,false,,,,,,False
missing_boiler_maintenance_proof,Missing Boiler Maintenance Proof,Justificatif entretien chaudière non présenté,Proof of boiler maintenance less than one year old not presented,gaz_003,boolean,user_input,report,report,false,,,,,,False
conclusion_phrase,Conclusion Phrase,Ajouter aux conclusion la phrase,Additional phrase to add to the conclusion,gaz_003,string,user_input,report,report,false,,,,,,False
c1_2a1_piping_materials_authorized,C1 2a1 Materials used are authorized,2a1) Les matériaux employés pour canalisations sont autorisés (Plomb avec GN; Cuivre; Acier; PLT; Polyéthylène si enterré),Check that piping materials used are authorized (lead with natural gas; copper; steel; PLT; polyethylene only when buried),gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_2a2_plt_marked_recognized_logo,C1 2a2 PLT piping marked with recognized logo,2a2) La tuyauterie PLT est marquée du logo d'une marque reconnue,Check that PLT piping is marked with a recognized brand logo,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_2a3_plt_pressure_suitable,C1 2a3 PLT piping under suitable pressure,2a3) La tuyauterie PLT est soumise à une pression non adaptée,Check whether PLT piping is subjected to unsuitable pressure,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_2a4_mechanical_fitting_in_crawl_space,C1 2a4 Mechanical fitting installed in crawl space,2a4) Au moins un raccord mécanique est installé en vide sanitaire,Check whether at least one mechanical fitting is installed in a crawl space,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_2b_pe_piping_inside_building,C1 2b PE piping at building entry or under building,2b) La tuyauterie en PE pénètre à l'intérieur du bâtiment ou est située sous le bâtiment,Check whether PE piping penetrates inside the building or is located under the building,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
c1_2c_pe_piping_protected_riser,C1 2c PE piping protected in riser section,2c) La tuyauterie en PE est protégée dans la remontée contre les chocs et la lumière,Check whether PE piping is protected in the riser against impacts and light,gaz_004,enum_single,user_input,report,report,true,,gaz_checklist_response,,,,True
