section_of_stage,app_lifecycle,label_en,description_en
1.A,1.1,case.selection,"The surveyor creates a new case or selects an existing one from the case list. A case represents a single property inspection job, potentially spanning multiple report types."
1.A,1.2,case.pre-visit,"Before leaving for the site, the surveyor reviews the case, checks report requirements, and handles any tasks that can be completed remotely (e.g. reviewing floor plans, checking previous reports, confirming equipment)."
1.A,1.3,report.pre-visit,"Report-specific tasks that can be completed before arriving on-site. Most commonly questionnaires filled by the homeowner (e.g. the seller questionnaire for Danish Condition, or the occupant questionnaire for Electrical). The surveyor or the homeowner fills these remotely; the sur"
2.A,2.1.1,case.setup,"On arrival, the surveyor opens the case and confirms or adjusts the report selection. This is the entry point for on-site work. If the case was prepared offsite, this step may be brief."
2.A,2.1.2,case.overview,"The case dashboard showing all buildings, progress per report, and navigation into child levels. This is the hub the surveyor returns to between buildings."
2.B,2.2.1,building.setup,"When a new building is created, the surveyor enters building-level defaults: name, construction year, building type, number of storeys. The app may pre-populate from previous inspections or external data. Storeys are added here or auto-generated. After initial setup, this step con"
2.J,2.2.2,building.overview,"The building's structured data entry view, reached after all storeys are complete. The surveyor enters building-level report tasks: technical installations, heat loss configuration, and building envelope data. This step does not include storey navigation — that lives in Stage 2.B"
2.J,2.2.3,building.completion,Triggered when the surveyor marks the building as done. The app validates that all required building-level tasks are finished and surfaces any missing data.
2.C,2.3.1,storey.setup,"The surveyor names the storey (e.g. ""Ground Floor"", ""1st Floor"", ""Basement"") and sets any storey-level fields. This is typically a brief step."
2.C,2.3.2,storey.overview,"Shows the list of rooms on this floor, their scan/completion status, and any storey-level tasks. The surveyor adds rooms and navigates into them for scanning and annotation."
2.I,2.3.3,storey.annotation,"Camera-based annotation mode for storey-level inspections. This step is conditional: it only activates for open-space storeys modelled as a whole (attics, crawlspaces) rather than broken into discrete rooms. For standard storeys, this step is skipped and the surveyor proceeds"
2.I,2.3.4,storey.completion,Triggered when the surveyor marks the storey as done or all rooms and storey-level annotations are complete. Validates that all work on this floor is finished before returning to the building.
2.D,2.4.1,room.setup,"The surveyor scans the room using the device camera and LiDAR sensor (RoomPlan). This step spans three stages: 2.D (scan capture), 2.E (model review), and 2.F (room configuration)."
2.E,2.4.1e,room.setup,"The surveyor reviews the captured 3D model, confirms detected building elements, and decides whether to accept or re-scan."
2.F,2.4.1f,room.setup,The surveyor configures the room's identity and report fields.
2.G,2.4.2,room.overview,"The room's main working view after scanning. Shows the 3D model with building elements, the material assignment interface, and room-level tasks. The surveyor confirms materials for each building element surface and completes any room-level data entry. Tapping a building element in"
2.H,2.4.3,room.annotation,"The surveyor enters camera-based annotation mode. The live camera feed (with optional AR overlay) lets the surveyor capture observations as : photos with spatial placement, defect markers, measurements, and other report-specific notes. Each report type defines which"
2.H,2.4.4,room.completion,Triggered when the surveyor marks the room as done. The app validates that all required tasks and annotations for this room are complete across all active reports. Missing items are surfaced for resolution.
2.G,2.5.1,building-element.overview,"The surveyor taps a building element in the room's 3D model to open its detail view. Here they edit properties: element type (wall, ceiling, window, etc.), material, area, insulation, and report-specific fields. Changes are saved inline and the surveyor returns to the room overvie"
2.K,2.6.1,property.setup,"The surveyor sets property-level settings: property type, plot characteristics, shared areas, and captures reference photos (front of house, street view). For multi-building properties, reference photos may be taken per building."
2.K,2.6.2,property.overview,"The property's main working view for outside/site-level tasks. Shows property-level tasks, any outside scanning requirements, and status."
2.K,2.6.3,property.annotation,"Camera-based annotation mode for outside observations. The surveyor captures exterior notes: facade condition, roof observations, drainage, external installations, and report-specific outside notes. Works the same as room annotation but in an outdoor context (AR may be limited)."
2.K,2.6.4,property.completion,Triggered when the surveyor finishes all outside work. Validates that property-level tasks and annotations are complete.
2.L,2.7.1,report.on-completion,"For each active report, the app runs an on-site completion check while the surveyor is still at the property. This surfaces report-specific validation: self-regulation questions, inspection time checks, general remarks, and any report-level closing tasks. Because the surveyor is s"
2.L,2.8.1,case.on-completion,"The final on-site step before the surveyor leaves the property. A case-wide validation confirming that all reports, all levels, and all on-site tasks are complete. Shows a summary of work done, any outstanding items, and a clear ""Leave site"" action."
3.A,3.1,case.report-completion,"For each report in the queue, the surveyor finishes any remaining tasks that can be completed off-site: summary comments, recommendations, final calculations, generated content. The app may auto-generate some sections based on collected data."
3.B,3.2,case.findings-review,"The app presents a consolidated view of all findings across all reports. The surveyor reviews key findings, anomalies, and recommendations to ensure consistency and correctness before final submission."
3.B,3.3,case.review,"A final quality gate before upload. The app shows a completion checklist: all required tasks, required photos, required annotations, and any validation errors. The surveyor resolves any remaining issues."
3.B,3.4,case.upload,"The surveyor submits the completed reports. The app packages all data, photos, scans, and annotations and uploads them to the server. Progress is shown and the surveyor is notified on completion."
