Section,question_en,question_fr,variable_kind,possible_values
Renseignements,Building Type,Type de bâtiment,Dropdown,"Appartement, Maison, etc."
Renseignements,Installation Energized,Installation sous tension,Radio,"Oui, Non"
Renseignements,Distributor,Distributeur,Dropdown,"Engie, Enedis, EDF, etc."
B1,Presence of main breaker (AGCP),B1.3 a Présence (y compris annexe usage habitation),Radio,"Oui, Non, NV, Sans Objet"
B1,Located inside the dwelling,B1.3 b Placé à l'intérieur du logement ou annexe en accès directe,Radio,"Oui, Non, NV, Sans Objet"
B1,Ensures total cutoff,B1.3 c Assure la coupure de l'ensemble de l'installation,Radio,"Oui, Non, NV, Sans Objet"
B2,Presence of RCDs,B2.3.1 a Présence,Radio,"Oui, Non, NV, Sans Objet"
B2,Sensitivity <= 30mA,B11 a Différentiel(s) à haute sensibilité (inf. 30 mA),Radio,"Protégeant toute l'installation, Protection partielle, Absent"
B2,RCD Test Button works,B2.3.1 i Déclenche par action sur le bouton test,Radio,"Oui, Non, NV, Sans Objet"
B3,Appropriate earth electrode,B3.3.1 b Elément constituant la prise de terre approprié,Radio,"Oui, Non, NV, Sans Objet"
B3,Earth Resistance Value,Résistance de la terre,Numeric/Unit,Ohm
B3,Presence of ground conductor,B3.3.2 a Présence d'un conducteur de terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Main Equipotential Bonding (LEP),B3.3.4 b Section satisfaisante du conducteur de liaison équipotentielle principale,Radio,"Oui, Non, NV, Sans Objet"
B3,Outlets have ground contact,B3.3.6 a1 Tous les socles de prise comportent un contact de terre,Radio,"Oui, Non, NV, Sans Objet"
B3,Outlets are effectively grounded,B3.3.6 a2 Tous les socles de prise avec terre sont reliés à la terre,Radio,"Oui, Non, NV, Sans Objet"
B4,Overcurrent protection at origin,B4.3 a1 Présence d'une protection contre les surintensités à l'origine de chaque circuit,Radio,"Oui, Non, NV, Sans Objet"
B4,No signs of overheating,B4.3 h Aucun point de connexion de conducteur ou d'appareillage ne présente de trace d'échauffement,Radio,"Oui, Non, NV, Sans Objet"
B5,Bathroom supplementary bonding,B5.3 a Continuité satisfaisante de la liaison équipotentielle supplémentaire,Radio,"Oui, Non, NV, Sans Objet"
B6,Bathroom zone compliance,B6.3.1 a Installation électrique répondant aux prescriptions particulières appliquées à ces locaux,Radio,"Oui, Non, NV, Sans Objet"
B7,Enclosure condition,B7.3 a Enveloppe des matériels électriques en place et non détériorée,Radio,"Oui, Non, NV, Sans Objet"
B7,Insulation condition,B7.3 b Isolant des conducteurs en bon état,Radio,"Oui, Non, NV, Sans Objet"
B8,Absence of obsolete equipment,B8.3 a Absence de matériel électrique vétuste,Radio,"Oui, Non, NV, Sans Objet"
B9,Common area feed,B9.3.2 a Installation électrique issue de la partie privative alimentant des matériels... en parties communes,Radio,"Oui, Non, NV, Sans Objet"
B10,Pool volume safety,B10.3.1 a L'installation et/ou les équipements électriques répondent aux prescriptions particulières (volumes),Radio,"Oui, Non, NV, Sans Objet"
B10,Fountain equipotential bonding,B10.3.2 e La continuité électrique de la liaison équipotentielle supplémentaire... est satisfaisante,Radio,"Oui, Non, NV, Sans Objet"
B3,Elevator grounding,B3.3.6 a4 Portes des ascenseurs monte-charges privés reliés à la terre,Radio,"Oui, Non, NV, Sans Objet"
E1,Uncovered grounding in common areas,Installation de mise à la terre située dans les parties communes,Checkbox,"Checked, Unchecked"
E1,Uncovered parts in common areas,Parties d'installation électrique situées dans les parties communes,Checkbox,"Checked, Unchecked"
